cell	node	doublet
0	4	no
1	2	no
2	4	no
3	0	no
4	4	no
5	0	no
6	2	no
7	0	no
8	4	no
9	2	no
10	0	no
11	0	no
12	0	no
13	4	no
14	0	no
15	4	no
16	2	no
17	2	no
18	4	no
19	4	no
20	2	no
21	2	no
22	0	no
23	4	no
24	4	no
25	4	no
26	4	no
27	2	no
28	1	no
29	2	no
30	4	no
31	2	no
32	4	no
33	4	no
34	2	no
35	4	no
36	4	no
37	4	no
38	2	no
39	4	no
40	4	no
41	4	no
42	2	no
43	4	no
44	2	no
45	4	no
46	1	no
47	4	no
48	2	no
49	4	no
50	5	no
51	4	no
52	4	no
53	2	no
54	5	no
55	2	no
56	2	no
57	4	no
58	2	no
59	4	no
60	2	no
61	2	no
62	4	no
63	2	no
64	4	no
65	4	no
66	4	no
67	4	no
68	4	no
69	4	no
70	2	no
71	2	no
72	4	no
73	5	no
74	2	no
75	0	no
76	2	no
77	4	no
78	2	no
79	3	no
80	4	no
81	2	no
82	2	no
83	4	no
84	4	no
85	1	no
86	2	no
87	2	no
88	4	no
89	4	no
90	4	no
91	2	no
92	4	no
93	4	no
94	4	no
95	4	no
96	0	no
97	0	no
98	4	no
99	4	no
100	4	no
101	4	no
102	4	no
103	2	no
104	2	no
105	4	no
106	2	no
107	4	no
108	0	no
109	2	no
110	4	no
111	4	no
112	4	no
113	4	no
114	4	no
115	4	no
116	2	no
117	0	no
118	4	no
119	2	no
120	4	no
121	4	no
122	2	no
123	2	no
124	4	no
125	4	no
126	2	no
127	4	no
128	4	no
129	4	no
130	2	no
131	2	no
132	0	no
133	2	no
134	2	no
135	0	no
136	4	no
137	2	no
138	4	no
139	4	no
140	0	no
141	2	no
142	4	no
143	4	no
144	4	no
145	4	no
146	2	no
147	4	no
148	0	no
149	4	no
150	4	no
151	4	no
152	4	no
153	2	no
154	4	no
155	2	no
156	1	no
157	4	no
158	0	no
159	4	no
160	2	no
161	4	no
162	4	no
163	5	no
164	2	no
165	4	no
166	1	no
167	4	no
168	2	no
169	4	no
170	4	no
171	4	no
172	2	no
173	4	no
174	4	no
175	4	no
176	4	no
177	4	no
178	4	no
179	4	no
180	4	no
181	2	no
182	4	no
183	4	no
184	4	no
185	2	no
186	4	no
187	4	no
188	2	no
189	4	no
190	2	no
191	4	no
192	3	no
193	4	no
194	4	no
195	0	no
196	4	no
197	2	no
198	5	no
199	5	no
200	2	no
201	0	no
202	2	no
203	0	no
204	4	no
205	4	no
206	4	no
207	4	no
208	4	no
209	1	no
210	4	no
211	4	no
212	4	no
213	2	no
214	4	no
215	4	no
216	4	no
217	4	no
218	0	no
219	4	no
220	4	no
221	4	no
222	4	no
223	4	no
224	2	no
225	2	no
226	0	no
227	4	no
228	4	no
229	4	no
230	4	no
231	4	no
232	4	no
233	0	no
234	2	no
235	4	no
236	4	no
237	2	no
238	4	no
239	4	no
240	4	no
241	2	no
242	4	no
243	4	no
244	4	no
245	4	no
246	4	no
247	4	no
248	2	no
249	4	no
250	0	no
251	4	no
252	2	no
253	4	no
254	4	no
255	2	no
256	3	no
257	2	no
258	4	no
259	2	no
260	4	no
261	1	no
262	4	no
263	4	no
264	4	no
265	4	no
266	2	no
267	0	no
268	2	no
269	4	no
270	4	no
271	4	no
272	4	no
273	4	no
274	1	no
275	4	no
276	0	no
277	4	no
278	4	no
279	2	no
280	1	no
281	4	no
282	4	no
283	4	no
284	4	no
285	4	no
286	4	no
287	4	no
288	0	no
289	0	no
290	4	no
291	4	no
292	4	no
293	2	no
294	5	no
295	4	no
296	2	no
297	2	no
298	2	no
299	4	no
300	4	no
301	5	no
302	4	no
303	4	no
304	2	no
305	4	no
306	2	no
307	5	no
308	4	no
309	4	no
310	4	no
311	4	no
312	4	no
313	5	no
314	4	no
315	4	no
316	1	yes
317	2	no
318	4	no
319	2	no
320	4	no
321	4	no
322	4	no
323	4	no
324	3	no
325	4	no
326	4	no
327	1	no
328	4	no
329	4	no
330	4	no
331	0	no
332	4	no
333	2	no
334	2	no
335	4	no
336	4	no
337	2	no
338	2	no
339	4	no
340	2	no
341	0	no
342	4	no
343	5	no
344	4	no
345	4	no
346	4	no
347	4	no
348	5	no
349	4	no
350	2	no
351	4	no
352	2	no
353	4	no
354	4	no
355	4	no
356	4	no
357	2	no
358	4	no
359	4	no
360	4	no
361	5	no
362	4	no
363	2	no
364	4	no
365	4	no
366	4	no
367	4	no
368	4	no
369	5	no
370	4	no
371	0	no
372	4	no
373	2	no
374	2	no
375	4	no
376	4	no
377	4	no
378	1	no
379	4	no
380	2	no
381	4	no
382	0	no
383	4	no
384	2	no
385	2	no
386	4	no
387	4	no
388	4	no
389	2	no
390	4	no
391	0	no
392	4	no
393	5	no
394	2	no
395	4	no
396	4	no
397	4	no
398	4	no
399	4	no
400	2	no
401	0	no
402	4	no
403	2	no
404	4	no
405	2	no
406	4	no
407	2	no
408	2	no
409	4	no
410	4	no
411	4	no
412	4	no
413	0	no
414	4	no
415	4	no
416	0	no
417	2	no
418	0	no
419	4	no
420	4	no
421	1	no
422	4	no
423	4	no
424	4	no
425	4	no
426	2	no
427	4	no
428	4	no
429	4	no
430	5	no
431	4	no
432	5	no
433	4	no
434	4	no
435	0	no
436	4	no
437	4	no
438	4	no
439	4	no
440	4	no
441	2	no
442	5	no
443	0	no
444	2	no
445	4	no
446	2	no
447	4	no
448	4	no
449	2	no
450	4	no
451	4	no
452	2	no
453	0	no
454	4	no
455	2	no
456	4	no
457	0	no
458	4	no
459	2	no
460	4	no
461	1	no
462	2	no
463	4	no
464	2	no
465	4	no
466	4	no
467	4	no
468	4	no
469	2	no
470	4	no
471	4	no
472	4	no
473	0	no
474	4	no
475	4	no
476	4	no
477	4	no
478	4	no
479	4	no
480	5	no
481	2	no
482	2	no
483	1	no
484	4	no
485	2	no
486	0	no
487	4	no
488	4	no
489	4	no
490	4	no
491	4	no
492	4	no
493	2	no
494	4	no
495	4	no
496	1	no
497	4	no
498	4	no
499	2	no
500	4	no
501	2	no
502	4	no
503	2	no
504	4	no
505	4	no
506	4	no
507	4	no
508	4	no
509	2	no
510	2	no
511	4	no
512	2	no
513	2	no
514	0	no
515	2	no
516	4	no
517	4	no
518	4	no
519	0	no
520	4	no
521	4	no
522	4	no
523	5	no
524	0	no
525	4	no
526	4	no
527	4	no
528	0	no
529	2	no
530	5	no
531	4	no
532	4	no
533	2	no
534	4	no
535	4	no
536	4	no
537	2	no
538	2	no
539	2	no
540	4	no
541	4	no
542	4	no
543	0	no
544	2	no
545	4	no
546	2	no
547	3	no
548	2	no
549	4	no
550	4	no
551	2	no
552	4	no
553	2	no
554	4	no
555	2	no
556	0	no
557	4	no
558	2	no
559	4	no
560	2	no
561	0	no
562	4	no
563	4	no
564	4	no
565	4	no
566	4	no
567	4	no
568	4	no
569	2	no
570	4	no
571	4	no
572	2	no
573	4	no
574	4	no
575	4	no
576	4	no
577	4	no
578	0	no
579	4	no
580	2	no
581	4	no
582	2	no
583	2	no
584	2	no
585	2	no
586	4	no
587	4	no
588	4	no
589	0	no
590	4	no
591	0	no
592	0	no
593	4	no
594	5	no
595	4	no
596	4	no
597	2	no
598	4	no
599	2	no
600	2	no
601	2	no
602	4	no
603	2	no
604	4	no
605	4	no
606	2	no
607	4	no
608	4	no
609	4	no
610	4	no
611	2	no
612	4	no
613	0	no
614	4	no
615	4	no
616	4	no
617	2	no
618	2	no
619	2	no
620	2	no
621	4	no
622	2	no
623	2	no
624	4	no
625	2	no
626	5	no
627	1	no
628	4	no
629	2	no
630	4	no
631	4	no
632	2	no
633	4	no
634	0	no
635	4	no
636	2	no
637	2	no
638	4	no
639	4	no
640	2	no
641	2	no
642	2	no
643	0	no
644	2	no
645	4	no
646	2	no
647	4	no
648	2	no
649	4	no
650	4	no
651	4	no
652	4	no
653	4	no
654	4	no
655	4	no
656	4	no
657	4	no
658	2	no
659	4	no
660	0	no
661	2	no
662	2	no
663	4	no
664	0	no
665	4	no
666	4	no
667	2	no
668	1	no
669	0	no
670	4	no
671	4	no
672	4	no
673	4	no
674	4	no
675	2	no
676	2	no
677	2	no
678	4	no
679	4	no
680	4	no
681	4	no
682	5	no
683	4	no
684	2	no
685	4	no
686	0	no
687	4	no
688	1	no
689	0	no
690	4	no
691	4	no
692	0	no
693	4	no
694	4	no
695	4	no
696	4	no
697	4	no
698	5	no
699	2	no
700	5	no
701	4	no
702	0	no
703	5	no
704	4	no
705	2	no
706	4	no
707	4	no
708	2	no
709	4	no
710	4	no
711	4	no
712	4	no
713	4	no
714	0	no
715	5	no
716	4	no
717	2	no
718	4	no
719	2	no
720	2	no
721	4	no
722	0	no
723	1	no
724	4	no
725	4	no
726	4	no
727	4	no
728	4	no
729	2	no
730	2	no
731	1	no
732	2	no
733	4	no
734	2	no
735	4	no
736	2	no
737	4	no
738	4	no
739	2	no
740	0	no
741	2	no
742	2	no
743	4	no
744	4	no
745	2	no
746	4	no
747	0	no
748	4	no
749	2	no
750	4	no
751	4	no
752	2	no
753	2	no
754	2	no
755	5	no
756	2	no
757	2	no
758	4	no
759	4	no
760	5	no
761	4	no
762	2	no
763	4	no
764	2	no
765	2	no
766	2	no
767	2	no
768	2	no
769	4	no
770	2	no
771	0	no
772	4	no
773	1	no
774	4	no
775	4	no
776	4	no
777	4	no
778	4	no
779	4	no
780	2	no
781	4	no
782	2	no
783	2	no
784	4	no
785	4	no
786	4	no
787	4	no
788	4	no
789	4	no
790	2	no
791	2	no
792	4	no
793	4	no
794	2	no
795	2	no
796	4	no
797	4	no
798	4	no
799	2	no
800	4	no
801	2	no
802	4	no
803	4	no
804	2	no
805	2	no
806	4	no
807	2	no
808	5	no
809	4	no
810	5	no
811	5	no
812	4	no
813	0	no
814	2	no
815	4	no
816	4	no
817	4	no
818	2	no
819	2	no
820	0	no
821	4	no
822	4	no
823	1	no
824	4	no
825	2	no
826	2	no
827	2	no
828	4	no
829	2	no
830	2	no
831	0	no
832	3	no
833	4	no
834	4	no
835	4	no
836	5	no
837	4	no
838	4	no
839	2	no
840	4	no
841	4	no
842	4	no
843	4	no
844	4	no
845	4	no
846	4	no
847	4	no
848	4	no
849	5	no
850	4	no
851	4	no
852	4	no
853	3	no
854	1	no
855	1	no
856	2	no
857	4	no
858	4	no
859	4	no
860	4	no
861	5	no
862	2	no
863	0	no
864	2	no
865	4	no
866	4	no
867	4	no
868	2	no
869	2	no
870	4	no
871	0	no
872	4	no
873	4	no
874	0	no
875	4	no
876	2	no
877	2	no
878	2	no
879	4	no
880	4	no
881	4	no
882	4	no
883	4	no
884	4	no
885	2	no
886	4	no
887	0	no
888	2	no
889	1	no
890	0	no
891	2	no
892	4	no
893	4	no
894	4	no
895	4	no
896	4	no
897	4	no
898	4	no
899	0	no
900	4	no
